time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz
12:37:58,0.004221372228736679,0.010629463164756695,0.24177982409795126,-0.2721778601408005,0.01934967904041211,-0.028556061287720997,AUTO,-1.6666666666666667,-24.333333333333332,-972.3333333333334,-271.0,20.0,-27.666666666666668,1500.0,-35.363262133333336,149.16523600000002,50084.666666666664,16.333333333333332,28.666666666666668,-21.333333333333332
12:38:00,-0.008015485480427742,-0.03427125451465448,0.19343984127044678,-0.17786813775698343,-0.04683215171098709,-0.01995751913636923,AUTO,-1.3333333333333333,2.3333333333333335,-1016.3333333333334,-175.33333333333334,-45.333333333333336,-19.0,1500.0,-35.363261,149.16523863333333,50014.666666666664,6.333333333333333,-4.666666666666667,6.333333333333333
12:38:02,-0.0010403055930510163,-0.13147679964701334,0.48112977544466656,0.286860170463721,-0.026580495138963062,-0.00711848462621371,AUTO,-32.333333333333336,-4.666666666666667,-1003.3333333333334,288.0,-25.0,-6.333333333333333,1500.0,-35.36325013333334,149.1652411,49948.333333333336,142.0,35.666666666666664,-1.3333333333333333
12:38:04,0.017859693616628647,-0.16850675145785013,0.4157381256421407,0.04070849219957987,0.04337161282698313,-0.02454072671631972,AUTO,-72.33333333333333,-30.333333333333332,-1010.0,42.0,44.0,-23.666666666666668,1500.0,-35.3632092,149.16525506666667,49940.333333333336,320.3333333333333,88.0,0.0
12:38:06,0.0468269611398379,-0.10357917038102944,0.3920834461847941,0.012969889988501867,0.28116370737552643,-0.03188086052735647,AUTO,-116.66666666666667,-61.333333333333336,-1050.6666666666667,14.333333333333334,281.6666666666667,-31.0,1500.0,-35.3631349,149.1652817,49915.333333333336,493.0,133.0,-14.666666666666666
12:38:08,0.023825405553604167,-0.18053110440572104,0.39350664615631104,0.12796775375803313,0.42761264244715375,-0.0019510857140024502,AUTO,-144.0,-69.0,-1115.0,128.66666666666666,428.0,-1.3333333333333333,1500.0,-35.36304233333333,149.16531486666668,49798.0,628.6666666666666,161.0,0.3333333333333333
12:38:10,0.04611128817001978,0.05353023981054624,0.3604172468185425,0.7893553773562113,-0.06581434731682141,-0.017913400505979855,AUTO,-74.66666666666667,-6.666666666666667,-1007.3333333333334,790.6666666666666,-64.33333333333333,-16.666666666666668,1500.0,-35.362950633333334,149.1653489,50165.666666666664,357.0,111.66666666666667,15.666666666666666
12:38:12,0.026531401090323925,-0.1293497902030746,0.35212113459904987,0.01696849862734477,0.3523553137977918,-0.01793453112865488,AUTO,-81.66666666666667,-41.666666666666664,-1046.3333333333333,17.333333333333332,353.0,-17.0,1500.0,-35.362894000000004,149.16536993333335,49899.333333333336,372.3333333333333,90.66666666666667,-1.3333333333333333
12:38:14,0.039025746285915375,-0.16833901281158128,0.34351519743601483,0.05160130436221758,0.3691728562116623,-0.01712928960720698,AUTO,-103.33333333333333,-48.333333333333336,-1064.0,52.0,370.0,-16.0,1500.0,-35.36282766666667,149.1653916,49889.0,452.0,118.66666666666667,-1.0
12:38:16,0.060284422089656196,-0.12874584893385568,0.33187422156333923,0.04954938815596203,0.3835483392079671,-0.03125333165129026,AUTO,-124.66666666666667,-64.0,-1076.6666666666667,49.666666666666664,384.0,-29.666666666666668,1500.0,-35.362744266666674,149.16541959999998,49902.333333333336,532.0,150.0,-6.333333333333333
12:38:18,0.07618571259081364,0.12187657691538334,0.33318161219358444,0.8339958935976028,0.05017476715147495,-0.03773736348375678,AUTO,-79.75,-2.5,-999.75,835.25,51.25,-36.25,1500.0,-35.362659575,149.165449475,50114.5,360.75,111.75,-1.75
12:38:20,0.023064179811626673,-0.1346745528280735,0.3230733722448349,0.06071024475386366,-0.06796896923333406,-0.010549499769695103,AUTO,-52.75,-25.0,-1009.25,61.25,-67.0,-9.5,1500.0,-35.362613975,149.165467175,49961.0,239.25,74.0,6.5
12:38:22,0.04532356932759285,0.036008303170092404,0.31848523765802383,0.18967119976878166,0.12165765836834908,-0.010657086852006614,AUTO,-49.5,-24.75,-996.5,190.25,122.25,-9.25,1500.0,-35.362566275,149.165483225,50018.75,229.75,67.75,-3.0
12:38:24,0.007519418315496296,0.04494522558525205,0.31401587277650833,0.05694714933633804,-0.046150374691933393,0.0006940086022950709,AUTO,-5.5,-10.5,-1007.5,56.75,-44.75,1.5,1500.0,-35.3625438,149.1654921,49998.75,36.0,18.25,1.5
12:38:26,-0.012005222029983997,-0.00278700576745905,0.30987531691789627,-0.04056607931852341,-0.022250361274927855,-0.0017810524732340127,AUTO,0.0,6.25,-1001.75,-39.25,-20.75,-0.75,1500.0,-35.362542275,149.165494025,49991.0,2.25,-5.5,0.0
12:38:28,0.015718716196715832,-0.0022163180401548743,0.3048846498131752,0.10585554596036673,0.03500266670016572,0.0050533205503597856,RTL,-4.5,0.0,-995.75,105.5,36.0,6.0,1500.0,-35.362540975,149.16549302500002,49996.5,15.25,1.5,-0.25
12:38:30,0.007712550548603758,0.03736917581409216,0.30307119339704514,-0.08269907906651497,0.009972733329050243,0.00646223669173196,RTL,3.75,9.0,-999.75,-81.25,10.5,7.25,1500.0,-35.36254065,149.16549177500002,49991.0,-26.0,4.0,0.25
12:38:32,-0.004005883587524295,0.068575544282794,0.30178163945674896,0.059313565492630005,-0.006666998961009085,-0.0027977353893220425,RTL,21.5,12.0,-1003.25,60.0,-5.25,-1.25,1500.0,-35.362551475000004,149.16548822500002,49983.0,-105.25,-14.75,0.0
12:38:34,-0.020050936611369252,0.03156114835292101,0.29978346079587936,0.07147971820086241,-0.011256341938860714,0.002695426461286843,RTL,29.75,23.0,-999.25,72.75,-9.5,4.0,1500.0,-35.362574725,149.1654811,49989.0,-138.75,-33.0,-0.25
12:38:36,-0.022323395125567913,0.0428925221785903,0.2970191240310669,-0.13559362012892962,-0.0024665893288329244,-0.007748229196295142,RTL,29.5,9.75,-999.25,-135.0,-1.0,-6.5,1500.0,-35.362599875,149.1654727,49986.75,-144.0,-43.25,0.0
12:38:38,-0.01113965513650328,0.03398370649665594,0.295030876994133,0.05915673263370991,-0.0015223377267830074,-0.0008892579935491085,RTL,31.25,22.5,-999.75,60.0,-0.25,0.5,1500.0,-35.362627249999996,149.1654619,49991.75,-157.25,-43.0,-0.25
12:38:40,-0.01857026433572173,0.037063028663396835,0.2932004854083061,-0.26874198485165834,0.004066238296218216,-0.00581858295481652,RTL,31.25,10.75,-990.75,-267.5,5.0,-4.25,1500.0,-35.362655375,149.1654514,49989.5,-159.75,-37.25,0.0
12:38:42,-0.023461840581148863,0.03680154960602522,0.2918621227145195,-0.028474565595388412,-0.004538399443845265,-0.0016837508883327246,RTL,35.5,17.25,-998.75,-27.25,-3.5,-0.25,1500.0,-35.3626843,149.165441975,49994.5,-161.75,-42.0,0.0
12:38:44,-0.024500676430761814,0.035845616832375526,0.2909638360142708,-0.04730294644832611,-0.002824994327966124,0.0023680190788581967,RTL,35.25,26.25,-999.0,-45.5,-1.5,3.5,1500.0,-35.36271322500001,149.1654321,49992.25,-161.0,-47.5,0.0
12:38:46,-0.016612157225608826,0.035409959964454174,0.2897792160511017,-0.07602474093437195,-0.0010783327015815303,-0.003560135664884001,RTL,30.5,14.25,-1000.75,-74.75,-0.25,-2.0,1500.0,-35.3627421,149.1654211,49992.25,-163.25,-44.75,0.0
12:38:48,-0.01218410616274923,0.03607925586402416,0.2890724316239357,0.20301268645562232,0.0011434403131715953,0.006697356700897217,RTL,33.75,31.5,-995.5,205.25,2.25,8.0,1500.0,-35.362771175,149.165410275,49990.75,-165.0,-39.5,0.0
12:38:50,-0.02285826252773404,0.03651423752307892,0.28813204914331436,-0.044234431348741055,-0.0020796483440790325,0.0034309395123273134,RTL,34.5,23.0,-994.75,-42.25,-1.0,5.25,1500.0,-35.362800549999996,149.1654005,49991.25,-165.5,-41.5,0.0
12:38:52,-0.020040639210492373,0.03669749666005373,0.2875036969780922,0.04866551235318184,-0.0028151720762252808,-0.0006258161156438291,RTL,35.75,21.75,-997.75,50.25,-1.25,1.0,1500.0,-35.362829875,149.16539045000002,49990.0,-164.5,-45.25,0.0
12:38:54,-0.031157130375504494,0.036325061693787575,0.2866830751299858,-0.11714095249772072,-0.00034957643947564065,0.00313342030858621,RTL,35.0,23.75,-1001.75,-114.75,0.5,4.5,1500.0,-35.362859449999995,149.165380725,49986.5,-162.25,-49.0,-0.25
12:38:56,-0.02750176703557372,0.035964734852313995,0.28573697060346603,0.036918170750141144,-0.0020056124194525182,-0.0031068481039255857,RTL,33.5,14.5,-1001.75,37.75,-0.5,-1.25,1500.0,-35.362889,149.165370925,49986.0,-160.0,-56.5,-0.5
12:38:58,-0.026595575036481023,0.03588360268622637,0.28565019369125366,-0.12369064800441265,0.002026244212174788,-0.0008994180243462324,RTL,35.5,22.75,-999.5,-121.75,3.0,0.75,1500.0,-35.3629182,149.16536005,49985.0,-160.25,-54.25,0.0
12:39:00,-0.020519430749118328,0.0357688944786787,0.2845529019832611,0.055709924548864365,-0.001108091586502269,-0.00032048398861661553,RTL,33.0,23.25,-1002.25,56.75,0.25,1.5,1500.0,-35.3629473,149.16534925000002,49984.75,-163.0,-51.0,-0.25
12:39:02,-0.019285270012915134,0.03620368707925081,0.28510889410972595,0.06529299542307854,0.0034152847656514496,0.004236363572999835,RTL,34.5,28.25,-1003.5,67.0,4.0,6.0,1500.0,-35.36297652500001,149.16533835,49988.0,-164.75,-46.25,0.0
12:39:04,-0.03020475246012211,0.03682812117040157,0.2841433435678482,-0.1773418840020895,0.0003444804169703275,-0.00710950349457562,RTL,35.75,16.0,-1000.5,-176.25,1.75,-5.25,1500.0,-35.363005975,149.165328625,49990.0,-164.25,-47.5,0.0
12:39:06,-0.02151063969358802,0.034848883748054504,0.28399359434843063,0.21043748408555984,-0.0016726544417906553,0.005418252665549517,RTL,34.0,39.25,-1003.25,212.0,-0.5,7.0,1500.0,-35.3630354,149.16531824999998,49986.75,-163.5,-51.5,0.0
12:39:08,-0.02327111456543207,0.03478316403925419,0.2836727872490883,-0.12146133556962013,-0.0017506047443021089,-0.0012203904334455729,RTL,32.75,17.5,-998.5,-120.0,-0.25,0.5,1500.0,-35.363064775,149.1653074,49990.5,-163.25,-48.25,0.0
12:39:10,-0.02359279803931713,0.0374163594096899,0.2834983244538307,0.10923371091485023,0.001304549485212192,0.00027605053037405014,RTL,35.0,25.75,-996.75,110.0,2.5,2.25,1500.0,-35.363094124999996,149.1652972,49992.75,-163.0,-47.0,0.0
12:39:13,-0.012653550133109093,0.03398115187883377,0.2832068204879761,0.5629603713750839,0.0011722766794264317,0.0145006631501019,RTL,34.5,52.5,-1003.0,564.5,2.5,16.0,1500.0,-35.3631433,149.16527945,49991.5,-163.0,-48.0,0.0
12:39:15,-0.012766126077622175,0.03668639250099659,0.2831277698278427,-0.5177210867404938,0.0007050684653222561,-0.004644102184101939,RTL,33.0,2.5,-1002.0,-516.0,2.0,-2.5,1500.0,-35.363172250000005,149.16526770000002,49991.0,-166.0,-38.5,0.0
