time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
13:13:52,157526.0,-35.363239300000004,149.16524844999998,35083.5,219.0,71.5,6.0,0.0024751393939368427,-0.1728251352906227,0.4841092377901077,-0.4497014433145523,-0.03982091322541237,-0.051473887637257576,-49.0,-45.5,-1004.5,-448.5,-38.0,-51.5,AUTO
13:13:54,157526.0,-35.36318034999999,149.16527530000002,34869.0,436.0,160.5,12.0,0.03770601563155651,-0.20538800209760666,0.4592110216617584,0.01201590895652771,-0.010778592666611075,-0.02410098258405924,-90.5,-45.0,-998.5,13.0,-9.5,-23.5,AUTO
13:13:55,19345.0,-35.3631247,149.16530162499998,34682.75,552.25,207.0,12.0,0.05602135043591261,-0.19972434639930725,0.4491655007004738,0.05016275169327855,0.024230249226093292,-0.0164955040672794,-125.25,-62.0,-999.25,50.75,24.75,-16.0,AUTO
13:13:56,19345.0,-35.3630861,149.16531980000002,34586.5,598.0,227.0,11.0,0.06745697185397148,-0.18191879242658615,0.44357532262802124,-0.014437079429626465,0.026348191313445568,-0.0006326804868876934,-123.0,-60.5,-987.5,-13.5,26.5,-0.5,AUTO
13:13:58,19345.0,-35.3629732,149.1653737,34319.0,637.5,247.5,13.5,0.08413750678300858,-0.1295156553387642,0.43388330936431885,0.1252847369760275,0.013324507744982839,-0.01078356709331274,-137.5,-81.5,-984.0,125.5,13.5,-10.0,AUTO
13:14:00,19345.0,-35.3628588,149.16542915,33919.5,640.0,247.5,19.5,0.0781957395374775,-0.14047863334417343,0.42717771232128143,-0.010295316576957703,0.01184967439621687,0.029930218122899532,-130.5,-93.5,-985.5,-10.0,12.5,29.5,AUTO
13:14:01,17737.0,-35.362786275000005,149.16546304999997,33679.75,642.0,251.25,14.75,0.0926082469522953,-0.13511605188250542,0.42101282626390457,0.011624574777670205,0.005025956663303077,0.0016219173558056355,-137.75,-76.5,-992.5,12.25,6.0,1.5,AUTO
13:14:02,17737.0,-35.36274265,149.16548335,33548.5,639.5,255.0,14.5,0.08982984349131584,-0.1337781473994255,0.4184671640396118,-0.14051966881379485,-0.023776551242917776,-0.013147473509889096,-132.5,-78.5,-986.5,-139.0,-22.5,-13.0,AUTO
13:14:04,17737.0,-35.3626275,149.16553775,33197.0,633.5,260.0,15.5,0.09828873351216316,-0.12792643904685974,0.40991610288619995,0.15830846317112446,-0.0024569641973357648,-0.008680580649524927,-126.5,-75.0,-983.5,159.0,-1.5,-9.0,AUTO
13:14:06,17737.0,-35.3625141,149.16559285,32882.5,609.5,248.0,9.5,0.08136840537190437,-0.07190841063857079,0.4074268937110901,-0.26078246533870697,0.056945472955703735,-0.0021312525495886803,-126.0,-87.5,-990.5,-258.5,57.5,-2.5,AUTO
13:14:07,193609.0,-35.362449600000005,149.165623925,32735.0,526.25,213.0,15.5,0.0871223472058773,-0.01675075711682439,0.40433502942323685,0.160100270062685,0.03344353707507253,-0.02058031177148223,-110.75,-66.75,-997.5,161.75,33.75,-20.5,AUTO
13:14:08,193609.0,-35.36241595,149.16564055,32621.5,458.5,187.0,16.0,0.07201894372701645,0.015588578302413225,0.4049123376607895,-0.45163019746541977,0.0443535540252924,0.04601675271987915,-98.5,-109.5,-987.0,-451.5,45.0,45.5,AUTO
13:14:10,193609.0,-35.3623532,149.16567375,32361.0,248.5,92.0,11.0,0.011064935242757201,0.062471434473991394,0.39942024648189545,-0.8842594623565674,0.019964711740612984,0.02614106796681881,-52.0,-77.0,-1023.5,-883.0,21.0,26.0,AUTO
13:14:12,193609.0,-35.3623267,149.16568665,32250.0,68.5,14.5,3.0,-0.0014468550798483193,0.0539423581212759,0.39704665541648865,-0.2508729612454772,-0.014632190577685833,-0.002688408043468371,-12.5,-5.5,-1006.5,-248.5,-13.0,-2.5,AUTO
13:14:13,15070.0,-35.362323075000006,149.16568825000002,32251.0,15.5,-7.75,0.0,-0.008010859048226848,0.02966469619423151,0.3954615220427513,-0.08098188089206815,-0.022853441536426544,0.0017936670337803662,-3.0,-2.5,-997.75,-79.75,-21.5,2.5,AUTO
13:14:14,15070.0,-35.362322750000004,149.1656878,32257.5,1.0,-14.0,0.0,-0.003246256383135915,0.010673851473256946,0.3953533470630646,-0.28101057559251785,-0.027851940132677555,0.0008618425345048308,-0.5,-22.5,-999.5,-281.0,-26.5,1.5,AUTO
13:14:16,15070.0,-35.36232255,149.1656867,32273.0,8.5,-3.0,-1.5,0.0079460006672889,0.0033091019140556455,0.39163821935653687,0.6190120577812195,0.010382688778918236,0.000661986181512475,-1.0,26.5,-1017.0,620.0,10.5,1.0,RTL
13:14:18,15070.0,-35.3623221,149.165687,33022.0,0.5,-4.5,-81.0,-0.007690063677728176,0.006152230780571699,0.39127217233181,0.04591044411063194,-7.719505811110139e-05,-0.0035558021627366543,1.0,4.5,-1046.5,47.0,1.5,-2.5,RTL
13:14:19,90069.0,-35.362322325,149.1656877,34435.5,0.5,-9.75,-135.0,-0.0073805435677058995,0.004161113029113039,0.3892964869737625,0.03435098333284259,-0.0045044001744827256,-0.003877358278259635,0.25,0.25,-1033.0,34.5,-3.25,-2.75,RTL
13:14:20,90069.0,-35.36232255,149.16568805,35540.5,-0.5,-1.5,-148.5,0.02220613043755293,-0.0018588579550851136,0.3896462470293045,0.046028848737478256,-0.009951064363121986,0.0012095961137674749,1.0,-1.0,-1003.5,46.0,-8.5,1.5,RTL
13:14:22,90069.0,-35.3623237,149.1656946,38583.5,0.5,-10.0,-148.0,-0.08477938920259476,0.00541851157322526,0.30836839973926544,0.005066203884780407,-0.010769016109406948,-0.02984044887125492,0.5,-1.0,-1006.0,5.5,-9.5,-28.5,RTL
