time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
03:09:46,0.009140788461081684,-0.0893368311226368,-0.19605063274502754,0.357208214700222,-0.05655829794704914,-0.6644486784934998,AUTO,-18.0,4.0,-1005.0,357.5,-55.5,-664.0,-35.363257000000004,149.16523425,24595.5,72.5,-40.0,2.5,20294.0
03:09:48,0.0378543995320797,-0.16895511746406555,-0.3645435571670532,-0.3731243908405304,-0.017078308970667422,0.011037127813324332,AUTO,-54.0,-44.5,-1002.0,-371.0,-16.0,11.0,-35.36323005,149.1652176,24422.0,246.0,-98.0,13.0,27670.5
03:09:50,0.04500429332256317,-0.2103622630238533,-0.3708844482898712,-0.014575786888599396,-0.02911753673106432,-0.0007885300437919796,AUTO,-96.5,-41.5,-990.5,-13.5,-28.0,-0.5,-35.363168099999996,149.16518589999998,24019.0,442.0,-182.0,26.0,35047.0
03:09:52,0.06640785932540894,-0.17819605767726898,-0.37647745013237,0.013667317107319832,0.03944762423634529,-0.008719536010175943,AUTO,-129.0,-60.5,-986.5,15.0,39.5,-8.0,-35.3630738,149.16513675,23474.5,586.5,-250.5,27.5,35047.0
03:09:53,0.07656602747738361,-0.14710760116577148,-0.3789280503988266,0.013206365401856601,0.025579328648746014,-0.004430721077369526,AUTO,-132.0,-72.0,-983.5,14.5,26.0,-4.0,-35.363005625,149.1651008,23114.25,621.25,-265.25,29.25,245266.0
03:09:54,0.08037290722131729,-0.13408197462558746,-0.3809242844581604,0.00031531043350696564,-0.0004208004102110863,-0.007822898449376225,AUTO,-133.5,-67.0,-982.0,2.0,0.5,-7.0,-35.362963699999995,149.16507869999998,22891.5,623.0,-264.5,31.5,245266.0
03:09:56,0.07693298533558846,-0.13763771951198578,-0.3851366192102432,-0.013314986135810614,-0.011369976215064526,0.006779281189665198,AUTO,-145.5,-77.5,-986.0,-12.5,-10.0,6.5,-35.36285085,149.16502,22188.5,629.5,-269.0,34.0,245266.0
03:09:58,0.08009928837418556,-0.12821155041456223,-0.38816648721694946,0.01283193426206708,0.04890355467796326,-0.0026344203506596386,AUTO,-137.0,-87.5,-997.5,14.0,49.5,-2.0,-35.3627373,149.1649605,21499.5,628.5,-270.5,32.0,245266.0
03:09:59,0.07925461232662201,-0.05977135896682739,-0.38822516798973083,0.10888920817524195,0.04540202859789133,-0.011792740086093545,AUTO,-128.0,-65.25,-984.25,110.25,46.0,-11.0,-35.362668475,149.16492442499998,21160.0,580.25,-249.25,25.75,290491.0
03:10:00,0.07060842588543892,-0.02760151121765375,-0.38620705902576447,-0.2650378420948982,0.0449217613786459,0.03690366353839636,AUTO,-127.0,-99.5,-990.5,-265.0,45.5,37.0,-35.3626305,149.16490470000002,20948.0,527.5,-226.0,29.5,290491.0
03:10:02,0.0428592711687088,0.045362869277596474,-0.3867046684026718,-0.7657981514930725,0.0009970508981496096,0.015665388287743554,AUTO,-78.5,-69.5,-1024.5,-764.0,2.0,16.0,-35.3625519,149.1648639,20411.5,326.0,-138.0,19.5,290491.0
03:10:04,-0.004855587612837553,0.07501668110489845,-0.39022234082221985,-0.43190136551856995,-0.03091175202280283,-0.000968994849245064,AUTO,-28.0,-24.5,-1006.0,-430.0,-29.5,-0.5,-35.362510799999995,149.1648442,20127.5,125.0,-56.0,6.5,155818.5
03:10:06,0.0025355685502290726,0.02518341038376093,-0.3914117217063904,0.3147986903786659,-0.023498241789638996,0.000682811951264739,AUTO,-3.0,12.5,-1011.0,315.0,-22.0,1.5,-35.36250085,149.16483855,20072.5,11.0,-14.0,-1.5,21146.0
03:10:08,0.0004389083478599787,-0.018527652602642775,-0.39240802824497223,0.037376463413238525,-0.03473914414644241,-0.002064647909719497,RTL,-1.0,10.5,-1000.0,39.0,-33.0,-1.0,-35.3625017,149.16483755000002,20101.0,5.0,-6.0,-1.0,21146.0
03:10:09,-0.003580424643587321,0.0038473734093713574,-0.39362385869026184,-0.27737418562173843,0.010888119228184223,0.0010225924779661,RTL,-2.75,-5.5,-1021.5,-275.75,11.0,1.75,-35.362500825,149.164836875,20132.5,15.0,-6.25,-7.75,256883.0
03:10:10,0.005962993367575109,0.006840893067419529,-0.3941378593444824,-0.06153617054224014,-0.0012826243764720857,-0.0009879539138637483,RTL,-0.5,-12.5,-1042.0,-60.5,0.0,0.0,-35.362500350000005,149.16483655000002,20268.0,8.0,-3.5,-32.0,256883.0
03:10:12,0.006232906132936478,0.000883992324816063,-0.3972128927707672,-0.00019311284995637834,-0.0012673843593802303,0.0002841872628778219,RTL,0.0,0.0,-1043.5,0.5,-0.5,0.5,-35.3625003,149.16483605000002,21880.0,1.0,1.5,-122.5,256883.0
03:10:14,0.058659158647060394,-0.00032282015308737755,-0.4088294804096222,-0.12593911634758115,0.049348304921295494,-0.0657372958958149,RTL,2.0,-10.0,-983.0,-125.0,49.5,-64.5,-35.36249915,149.16483814999998,24839.5,30.0,48.5,-145.5,159353.5
03:10:16,-0.038889458402991295,0.013606817461550236,-0.4976218640804291,0.055851176381111145,0.005553741939365864,-0.023021980188786983,RTL,-4.0,6.5,-1001.0,57.0,6.0,-22.0,-35.3624971,149.164841,27890.5,-19.5,-27.0,-149.0,61824.0
03:10:18,0.027399803511798382,-0.02950264234095812,-0.45457588136196136,-0.02675745263695717,-0.018396700732409954,0.04102069651708007,RTL,0.5,3.0,-998.0,-24.5,-17.5,41.5,-35.362501550000005,149.16483499999998,31011.0,-10.5,0.5,-150.5,61824.0
03:10:19,-0.0016669302058289759,0.005558648204896599,-0.4898786246776581,-0.003265081555582583,0.018926241667941213,-0.03998942859470844,RTL,-1.75,-1.25,-1000.75,-1.75,19.0,-38.5,-35.362500875,149.1648343,32944.5,7.25,-1.75,-150.75,134063.0
03:10:20,0.001149413608800387,0.013544497545808554,-0.5157130658626556,0.011479781940579414,0.005738019244745374,-0.023546867072582245,RTL,-2.0,-0.5,-1001.0,12.5,6.0,-22.5,-35.36250025,149.1648337,34115.0,1.0,-1.5,-152.0,134063.0
03:10:22,0.003521408303640783,0.007884645834565163,-0.5473830699920654,-0.0036080118734389544,-0.004001786932349205,-0.014608565717935562,RTL,1.5,0.0,-1000.0,-2.0,-3.0,-13.0,-35.3625002,149.1648338,37234.5,-6.0,10.0,-152.0,134063.0
03:10:24,-0.0009434185340069234,0.0032999273389577866,-0.5889796316623688,0.0024144109338521957,0.0010206031147390604,-0.023268655873835087,RTL,0.5,0.0,-1000.0,3.0,1.5,-21.5,-35.3625005,149.16483525,40356.5,-3.5,5.5,-152.0,134063.0
