time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT
05:28:28,-35.363265399999996,149.16523406666667,31810.0,-5.666666666666667,-12.0,-72.33333333333333,0.0,3.3333333333333335,-966.6666666666666,31.333333333333332,5.666666666666667,-35.666666666666664,AUTO,0.03418519658346971,-0.049111889054377876,0.1482892483472824,0.031104755277434986,0.004883395507931709,-0.036202983309825264,224153.0
05:28:29,-35.36326493333333,149.16523403333335,32278.333333333332,18.0,15.0,-51.333333333333336,-2.6666666666666665,-7.0,-977.3333333333334,-69.33333333333333,39.666666666666664,-15.0,AUTO,0.03283454912404219,-0.02627887452642123,0.12766258915265402,-0.07019456972678502,0.03928828984498978,-0.015837000062068302,224153.0
05:28:31,-35.36326123333333,149.16523856666666,32847.666666666664,9.333333333333334,15.333333333333334,-2.3333333333333335,0.0,-2.6666666666666665,-955.6666666666666,167.0,40.0,-10.666666666666666,AUTO,-0.008248679417495927,0.02462403103709221,0.10674304515123367,0.1666214863459269,0.039231657438601054,-0.011550496021906534,224153.0
05:28:32,-35.36326133333333,149.16523836666667,32703.0,-5.333333333333333,-27.666666666666668,5.333333333333333,-0.3333333333333333,29.333333333333332,-1017.3333333333334,326.3333333333333,-30.666666666666668,-7.0,AUTO,-0.04563015202681223,-0.008007149115049591,0.09168772647778194,0.32486414909362793,-0.03237384185194969,-0.007876801692570249,176528.0
05:28:33,-35.363261466666664,149.1652355,32688.0,7.0,-57.333333333333336,-4.333333333333333,-5.666666666666667,-13.333333333333334,-1004.6666666666666,-373.0,-13.666666666666666,-73.33333333333333,AUTO,-0.0602479043106238,-0.027616045748194058,0.07975645611683528,-0.37417841081817943,-0.015353825020914277,-0.0732916285827135,176528.0
05:28:35,-35.36325623333334,149.1652124,32974.0,62.333333333333336,-184.33333333333334,-27.0,-40.0,-23.333333333333332,-1014.3333333333334,13.0,-49.333333333333336,-326.3333333333333,AUTO,0.016037938185036182,-0.13743283847967783,-1.158787488937378,0.011879983047644297,-0.05080356697241465,-0.32678322431941825,176528.0
05:28:36,-35.3632473,149.16517939999997,33403.0,106.0,-305.6666666666667,-44.666666666666664,-67.0,-34.0,-1021.6666666666666,2.0,0.0,15.0,AUTO,0.031163596237699192,-0.16773271560668945,-1.1615459124247234,0.0009802865485350292,-0.0009969120534757774,0.014942925423383713,140882.0
05:28:37,-35.36323946666666,149.16515139999998,33786.0,132.0,-373.6666666666667,-57.333333333333336,-69.0,-37.333333333333336,-1016.0,-1.0,17.0,-7.666666666666667,AUTO,0.03958607340852419,-0.17002704739570618,-1.1670289436976116,-0.0016642482951283455,0.016147856290141743,-0.008551756385713816,140882.0
05:28:39,-35.3632116,149.1650546,35251.666666666664,168.66666666666666,-480.3333333333333,-81.66666666666667,-98.0,-49.0,-996.6666666666666,0.0,6.333333333333333,-31.0,AUTO,0.0481627012292544,-0.1312680890162786,-1.1849740743637085,-0.0009783521915475528,0.00536976451985538,-0.03186082777877649,140882.0
05:28:40,-35.36319206666667,149.16498603333335,36312.666666666664,175.33333333333334,-506.0,-83.33333333333333,-109.66666666666667,-60.333333333333336,-996.6666666666666,11.666666666666666,20.333333333333332,16.0,AUTO,0.057795117298762,-0.11917733152707417,-1.2049140532811482,0.011046601769824823,0.019759385303283732,0.015884356883664925,181008.0
05:28:41,-35.3631799,149.16494356666666,36959.333333333336,181.33333333333334,-511.0,-83.0,-110.0,-49.666666666666664,-989.3333333333334,3.0,35.333333333333336,16.666666666666668,AUTO,0.06358202422658603,-0.10643269121646881,-1.1830379565556843,0.0021375776268541813,0.03466587389508883,0.016683848574757576,181008.0
05:28:43,-35.36314866666667,149.16483566666668,38597.666666666664,155.66666666666666,-443.3333333333333,-70.33333333333333,-97.66666666666667,-50.0,-982.0,4.666666666666667,49.0,-2.3333333333333335,AUTO,0.05698188270131747,-0.018808080504337948,-1.1866446336110432,0.004062102486689885,0.04862114662925402,-0.002803934427599112,181008.0
05:28:44,-35.3631331,149.16478126666667,39382.333333333336,117.66666666666667,-334.3333333333333,-47.333333333333336,-75.33333333333333,-47.666666666666664,-983.3333333333334,-7.0,59.333333333333336,-4.0,AUTO,0.05341579392552376,0.042566725984215736,-1.1896348396937053,-0.007587263981501262,0.05864789212743441,-0.004416300643545886,61517.0
05:28:45,-35.363126066666666,149.1647567,39694.333333333336,90.33333333333333,-248.66666666666666,-30.666666666666668,-53.0,-14.333333333333334,-986.3333333333334,263.0,20.333333333333332,-16.333333333333332,AUTO,0.048147199054559074,0.07701377073923747,-1.1923328240712483,0.2618074615796407,0.019631466285015147,-0.017186129776140053,61517.0
05:28:47,-35.363115666666666,149.16472426666667,40028.666666666664,24.333333333333332,-63.666666666666664,-4.666666666666667,-12.333333333333334,-13.666666666666666,-996.0,-188.66666666666666,-20.666666666666668,2.3333333333333335,AUTO,0.0022870819084346294,0.05121933047970136,-1.1985533634821575,-0.1896936297416687,-0.022585380201538403,0.0017811331005456548,61517.0
05:28:48,-35.363114,149.16471980000003,40046.333333333336,0.6666666666666666,-14.333333333333334,0.3333333333333333,-1.6666666666666667,-1.3333333333333333,-1002.3333333333334,-163.0,-19.333333333333332,-0.3333333333333333,AUTO,-0.0077026961371302605,0.02625308682521184,-1.200888196627299,-0.16411097844441733,-0.020930173496405285,-0.0007856423859872544,268304.0
05:28:49,-35.36311396666667,149.1647196,40033.333333333336,-6.333333333333333,-2.3333333333333335,1.0,0.0,-12.333333333333334,-998.0,-17.0,-28.666666666666668,-1.3333333333333333,RTL,-0.003260467822353045,0.007221197947122467,-1.202443281809489,-0.01729800800482432,-0.030141521245241165,-0.0025777765937770405,268304.0
05:28:51,-35.36311466666667,149.1647198,40087.0,-2.3333333333333335,-5.333333333333333,-19.666666666666668,0.0,8.666666666666666,-1037.0,84.33333333333333,1.0,0.0,RTL,0.0017365572275593877,-0.00164723446747909,-1.2070995569229126,0.08301557103792827,-7.5529795140028e-05,-0.000534485443495214,268304.0
05:28:52,-35.363114833333334,149.1647199,40658.666666666664,-0.6666666666666666,-4.0,-73.0,-0.3333333333333333,4.0,-1045.3333333333333,52.666666666666664,-0.6666666666666666,-0.3333333333333333,RTL,0.0013832482800353318,-0.0014395620285843809,-1.208669384320577,0.052241419752438865,-0.0014627455966547132,-0.0012929759686812758,81398.0
05:28:53,-35.363115066666666,149.16471983333332,41342.666666666664,0.0,-4.0,-105.66666666666667,-0.6666666666666666,2.3333333333333335,-1043.3333333333333,27.666666666666668,-0.6666666666666666,-1.0,RTL,0.004774541671698292,-0.0018149922446658213,-1.210038423538208,0.02707165355483691,-0.0018136011979853113,-0.0016625882514442007,81398.0
05:28:55,-35.36311463333333,149.1647195,44147.666666666664,35.666666666666664,4.333333333333333,-148.66666666666666,0.0,-4.333333333333333,-997.6666666666666,30.333333333333332,-0.3333333333333333,-9.333333333333334,RTL,0.06173991287748019,-0.006667000552018483,-1.2137125730514526,0.030179425608366728,-0.0011041779071092606,-0.009840923749531308,81398.0
05:28:56,-35.363110033333335,149.16472023333333,46037.333333333336,32.666666666666664,7.666666666666667,-147.66666666666666,2.6666666666666665,-7.666666666666667,-1009.0,-78.33333333333333,-13.333333333333334,-43.0,RTL,-0.06123140578468641,0.010200022254139185,-1.2818917433420818,-0.07966951249788205,-0.014500091473261515,-0.04415283724665642,117536.0
05:28:57,-35.363110166666665,149.16471996666667,47196.333333333336,-21.666666666666668,-4.666666666666667,-149.66666666666666,-2.0,4.0,-1001.0,50.0,1.0,-18.0,RTL,-0.059603746980428696,0.0035088788717985153,-1.3057791789372761,0.049647342413663864,0.0003847692666264872,-0.01911051260928313,117536.0
05:28:59,-35.363118533333335,149.16471869999998,50300.333333333336,-19.333333333333332,16.666666666666668,-152.66666666666666,0.0,6.666666666666667,-1000.0,35.0,-25.0,27.333333333333332,RTL,0.059649884700775146,0.012545421564330658,-1.3106491565704346,0.03421403716007868,-0.025985087578495342,0.027365511205668252,117536.0
05:29:00,-35.3631178,149.16471966666666,52241.333333333336,33.0,-5.333333333333333,-148.33333333333334,0.6666666666666666,-6.333333333333333,-1002.0,-66.0,69.33333333333333,-53.333333333333336,RTL,-0.0002826139486084382,-0.02914600819349289,-1.2647736072540283,-0.06753963604569435,0.06862094501654308,-0.054601820185780525,3921.0
05:29:01,-35.36311636666667,149.16471806666667,53399.0,15.666666666666666,-16.666666666666668,-151.66666666666666,-3.3333333333333335,-5.0,-1003.3333333333334,6.666666666666667,33.0,-68.33333333333333,RTL,-0.020247312883536022,0.009403800320190689,-1.3210134108861287,0.005944032842914264,0.03231512072185675,-0.0698987605671088,3921.0
05:29:03,-35.36311666666666,149.16471593333333,56529.0,0.0,13.0,-152.0,0.6666666666666666,0.6666666666666666,-999.3333333333334,1.0,-9.666666666666666,-1.6666666666666667,RTL,0.013260818707446257,0.016470654246707756,-1.3776057958602905,-4.2782436745862164e-05,-0.011206749826669693,-0.002763421080696086,3921.0
05:29:04,-35.3631165,149.16471746666667,58472.0,6.0,16.0,-152.0,2.6666666666666665,0.0,-1000.0,-5.666666666666667,-3.3333333333333335,-14.666666666666666,RTL,0.003580330521799624,0.003132422842706243,-1.3869378566741943,-0.007356630793462197,-0.0048871084582060575,-0.016088174966474373,57793.0
05:29:05,-35.3631162,149.16471823333333,59640.0,5.333333333333333,11.666666666666666,-152.0,1.6666666666666667,0.0,-1000.0,0.3333333333333333,0.0,-23.333333333333332,RTL,0.00013655174636066172,0.00013586155546363443,-1.40222171942393,-0.001122914991962413,-0.0010644517606124282,-0.024625865121682484,57793.0
05:29:07,-35.3631159,149.1647188,62759.0,2.0,3.3333333333333335,-152.33333333333334,0.0,0.0,-999.6666666666666,2.0,3.3333333333333335,-25.0,RTL,0.0037487860148151717,0.0036686776050676904,-1.4565694332122803,0.0012194376904517412,0.0024782672602062425,-0.026168542603651684,57793.0
05:29:08,-35.363115766666674,149.1647188,64709.666666666664,3.0,4.0,-152.0,0.0,0.0,-1000.0,0.6666666666666666,2.0,-19.0,RTL,0.00421097354652981,0.005143402144312859,-1.4861298402150471,-0.0005247888232891759,0.001176449974688391,-0.0205013540883859,300000.0
05:29:09,-35.36311563333333,149.16471883333335,65879.66666666667,3.0,4.0,-152.66666666666666,0.0,0.0,-1000.0,1.0,2.6666666666666665,-19.666666666666668,RTL,0.0032463320530951023,0.004973669691632192,-1.5019622643788655,-7.12672093262275e-05,0.0018591007295375068,-0.021216419835885365,300000.0
05:29:11,-35.3631152,149.1647193,68986.0,6.0,6.0,-152.0,0.3333333333333333,0.0,-1000.0,-1.0,0.0,27.0,RTL,0.004131336929276586,0.004572185222059488,-1.4862539370854695,-0.002945004884774486,-0.0011395485683654745,0.026454695189992588,300000.0
05:29:12,-35.363114833333334,149.16471966666666,70922.66666666667,3.6666666666666665,4.333333333333333,-152.0,0.0,0.0,-1000.0,2.3333333333333335,0.6666666666666666,24.0,RTL,0.0012622549353788297,0.002247763176759084,-1.4554057916005452,0.0010892747668549418,-0.0005762556878228983,0.023777058348059654,300000.0
05:29:13,-35.3631148,149.1647198,72087.0,2.3333333333333335,2.6666666666666665,-152.0,0.0,0.0,-1000.0,4.0,1.6666666666666667,21.666666666666668,RTL,0.0016132686287164688,0.0020572232315316796,-1.4398174683252971,0.0030927996849641204,0.0007441399696593484,0.021059655273954075,300000.0
05:29:15,-35.3631148,149.16471976666665,75198.0,1.0,0.3333333333333333,-152.0,0.0,0.0,-999.6666666666666,1.0,3.6666666666666665,16.333333333333332,RTL,0.0032060142451276383,0.0023120897822082043,-1.4058432579040527,3.9675699857374035e-05,0.002381501835770905,0.015725811012089252,300000.0
05:29:16,-35.3631149,149.16471956666666,77137.0,1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,3.0,1.6666666666666667,15.666666666666666,RTL,0.004030042793601751,0.0026738576125353575,-1.3888817230860393,0.0014748519752174616,0.0008511145521576206,0.014737827703356743,200.0
05:29:17,-35.36311493333333,149.16471946666664,78301.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,2.3333333333333335,14.0,RTL,0.0039026214896390834,0.0026923383120447397,-1.3799949487050374,0.0001476559555158019,0.0009167364332824945,0.01345459030320247,200.0
05:29:19,-35.363115,149.1647193,81405.0,1.0,2.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,1.3333333333333333,9.666666666666666,RTL,0.003730276289085547,0.003046766777212421,-1.361321250597636,1.5812693163752556e-06,6.436486728489399e-06,0.009363808669149876,200.0
05:29:20,-35.363115,149.1647192,83348.33333333333,1.6666666666666667,2.0,-152.0,0.0,0.0,-1000.3333333333334,1.3333333333333333,1.3333333333333333,10.0,RTL,0.003303679016729196,0.0025589258099595704,-1.351929505666097,0.00044772366527467966,0.0004326691074917714,0.009277601726353168,245911.0
05:29:21,-35.363115,149.1647192,84518.0,1.0,2.0,-152.0,0.0,0.0,-999.6666666666666,1.6666666666666667,1.6666666666666667,8.333333333333334,RTL,0.0032484826321403184,0.002693389697621266,-1.3471160729726155,0.0006293165109430751,0.0006867903284728527,0.007399664415667455,245911.0
05:29:23,-35.363115,149.1647192,87624.33333333333,1.0,2.0,-152.0,0.0,0.0,-1000.0,1.6666666666666667,2.0,8.333333333333334,RTL,0.0031721965254594884,0.002541533283268412,-1.3347548643747966,8.798371224353711e-05,0.0008637235344698032,0.007369563914835453,245911.0
05:29:24,-35.363115,149.1647192,89564.33333333333,1.0,2.0,-152.0,0.0,0.0,-1000.0,0.6666666666666666,0.6666666666666666,8.0,RTL,0.0032473528602470956,0.002420169999822974,-1.3279162645339966,-0.0009987025211254756,-0.0007310734363272786,0.006823381253828605,164489.0
05:29:25,-35.363115,149.1647192,90728.33333333333,1.0,2.0,-152.0,0.0,0.0,-1000.0,3.0,1.3333333333333333,7.666666666666667,RTL,0.0032150081048409143,0.0025061458194007478,-1.3242874940236409,0.001708532761161526,0.00018345937132835388,0.006834043655544519,164489.0
05:29:27,-35.363115,149.1647192,93834.0,1.0,2.0,-152.0,0.0,0.0,-999.6666666666666,2.3333333333333335,2.3333333333333335,6.666666666666667,RTL,0.003157355124130845,0.002532100615402063,-1.3149383862813313,0.0007718063425272703,0.001016684730226795,0.005800139779845874,164489.0
05:29:28,-35.363115,149.1647192,95775.0,1.0,2.0,-152.0,0.0,0.0,-1000.0,2.3333333333333335,2.3333333333333335,5.666666666666667,RTL,0.0031196896452456713,0.002434598825251063,-1.3097336292266846,0.0008430675758669773,0.001106823270674795,0.004799678300817807,300000.0
05:29:29,-35.363115,149.1647192,96943.66666666667,1.0,2.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,2.6666666666666665,5.0,RTL,0.0030630708982547126,0.002461088433240851,-1.307034969329834,-0.00019648969949533543,0.0014062390352288883,0.004002632961298029,300000.0
05:29:31,-35.363115,149.1647192,100046.0,1.0,2.0,-152.0,0.0,0.0,-999.6666666666666,1.0,2.6666666666666665,6.0,RTL,0.003051570306221644,0.0024951499265929065,-1.2997215588887532,-0.00048221271329869825,0.0015017927701895435,0.005082593920330207,300000.0
05:29:32,-35.363115,149.1647192,101987.0,1.0,2.0,-152.0,0.0,0.0,-999.6666666666666,2.6666666666666665,1.6666666666666667,5.666666666666667,RTL,0.003163902942712108,0.0023685310346384845,-1.2951842943827312,0.0010576092172414064,-2.612029978384574e-05,0.004969059644887845,75024.0
05:29:33,-35.363115,149.1647192,103151.66666666667,1.0,2.0,-152.0,0.0,0.0,-1000.0,1.0,1.0,5.0,RTL,0.003029333815599481,0.0021493364280710616,-1.293067495028178,-0.0006636993493884802,-0.0004670044096807639,0.0038261001463979483,75024.0
05:29:35,-35.363115,149.1647192,106261.33333333333,1.0,1.0,-152.0,0.0,0.0,-1000.0,0.6666666666666666,1.0,5.0,RTL,0.0026314849189172187,0.0023149344294021526,-1.2878035306930542,-0.0007901883218437433,-0.00031368329655379057,0.003665938274934888,75024.0
05:29:36,-35.363115,149.1647192,108203.33333333333,0.0,1.0,-152.0,0.0,0.0,-1000.0,1.6666666666666667,2.0,2.6666666666666665,RTL,0.0027694441378116608,0.002274295392756661,-1.2849160432815552,0.00015500599207977453,0.0005093716317787766,0.001277021869706611,275214.0
05:29:37,-35.363115,149.1647192,109368.0,0.3333333333333333,1.0,-152.0,0.0,0.0,-1000.0,3.6666666666666665,2.3333333333333335,5.0,RTL,0.0031174380177011094,0.002359343304609259,-1.2830605109532673,0.0018743689482410748,0.0009983470275377233,0.003278603466848532,275214.0
05:29:39,-35.363115,149.1647192,112482.0,0.0,2.0,-152.0,0.0,0.0,-1000.0,3.0,1.3333333333333333,4.666666666666667,RTL,0.002867520476380984,0.0023011943946282067,-1.279169003168742,0.0008705228101462126,0.00011683496025701363,0.003080000402405858,275214.0
05:29:40,-35.36311503333334,149.1647192,114416.0,1.0,2.0,-152.0,0.0,0.0,-999.6666666666666,3.0,2.0,3.6666666666666665,RTL,0.003556355834007263,0.0021541453897953033,-1.2767970561981201,0.0010297248760859172,0.0006002003792673349,0.002400742804942032,204993.0
