,A.BRAKE1
20:37:29.343,-1
20:37:29.547,-1
20:37:29.750,-1
20:37:29.953,-1
20:37:30.155,-1
20:37:30.356,-1
20:37:30.558,-1
20:37:30.762,-1
20:37:30.964,-1
20:37:31.167,-1
20:37:31.369,-1
20:37:31.572,-1
20:37:31.775,-1
20:37:31.976,-1
20:37:32.178,-1
20:37:32.379,-1
20:37:32.581,-1
20:37:32.784,-1
20:37:32.986,-1
20:37:33.187,-1
20:37:33.389,-1
20:37:33.593,-1
20:37:33.796,-1
20:37:33.998,-1
20:37:34.200,-1
20:37:34.401,-1
20:37:34.606,-1
20:37:34.810,-1
20:37:35.016,-1
20:37:35.219,-1
20:37:35.421,-1
20:37:35.623,-1
20:37:35.826,-1
20:37:36.028,-1
20:37:36.229,-1
20:37:36.431,-1
20:37:36.632,-1
20:37:36.833,-1
20:37:37.035,-1
20:37:37.237,-1
20:37:37.438,-1
20:37:37.640,-1
20:37:37.848,-1
20:37:38.050,-1
20:37:38.251,-1
20:37:38.453,-1
20:37:38.654,-1
20:37:38.858,-1
20:37:39.064,-1
20:37:39.268,-1
20:37:39.473,-1
20:37:39.676,-1
20:37:39.878,-1
20:37:40.079,-1
20:37:40.281,-1
20:37:40.483,-1
20:37:40.685,-1
20:37:40.888,-1
20:37:41.091,-1
20:37:41.294,-1
20:37:41.495,-1
20:37:41.701,-1
20:37:41.903,-1
20:37:42.105,-1
20:37:42.306,-1
20:37:42.510,-1
20:37:42.713,-1
20:37:42.916,-1
20:37:43.122,-1
20:37:43.324,-1
20:37:43.527,-1
20:37:43.730,-1
20:37:43.934,-1
20:37:44.135,1
20:37:44.337,1
20:37:44.539,1
20:37:44.741,1
20:37:44.948,1
20:37:45.152,1
20:37:45.354,1
20:37:45.557,1
20:37:45.760,1
20:37:45.964,1
20:37:46.166,-1
20:37:46.368,-1
20:37:48.852,-1
20:37:49.059,-1
20:37:49.260,-1
20:37:49.462,-1
20:37:49.666,-1
20:37:49.869,-1
20:37:50.072,-1
20:37:50.275,-1
20:37:50.482,-1
20:37:50.684,-1
20:37:50.887,-1
20:37:51.090,-1
20:37:51.291,-1
20:37:51.494,-1
20:37:51.697,-1
20:37:51.898,-1
20:37:52.100,-1
20:37:52.304,-1
20:37:52.506,-1
20:37:52.710,-1
20:37:52.913,-1
20:37:53.115,-1
20:37:53.317,-1
20:37:53.519,-1
20:37:53.720,-1
20:37:53.926,-1
20:37:54.127,-1
20:37:54.328,-1
20:37:54.529,-1
20:37:54.733,-1
20:37:54.934,-1
20:37:55.139,-1
20:37:55.342,-1
20:37:55.543,-1
20:37:55.746,-1
20:37:55.947,-1
20:37:56.151,-1
20:37:56.352,-1
20:37:56.554,-1
20:37:56.758,-1
20:37:56.959,-1
20:37:57.162,-1
20:37:57.364,-1
20:37:57.565,-1
20:37:57.772,-1
20:37:57.975,-1
20:37:58.187,-1
20:37:58.389,-1
20:37:58.592,-1
20:37:58.795,-1
20:37:58.997,-1
20:37:59.200,-1
20:37:59.402,-1
20:37:59.603,-1
20:37:59.805,-1
20:38:00.008,-1
20:38:00.211,-1
20:38:00.413,-1
20:38:00.618,-1
20:38:00.819,-1
20:38:01.022,-1
20:38:01.223,-1
20:38:01.425,-1
20:38:01.627,-1
20:38:01.828,-1
20:38:02.030,-1
20:38:02.234,-1
20:38:02.435,-1
20:38:02.638,-1
20:38:02.839,-1
20:38:03.041,-1
20:38:03.243,-1
20:38:03.444,1
20:38:03.645,1
20:38:03.850,1
20:38:04.051,1
20:38:04.253,1
20:38:04.454,1
20:38:04.656,1
20:38:04.857,1
20:38:05.058,1
20:38:05.261,1
20:38:05.463,-1
20:38:05.663,-1
20:38:05.865,-1
20:38:06.066,-1
20:38:06.272,-1
20:38:06.475,-1
20:38:06.679,-1
20:38:06.881,-1
20:38:07.085,-1
20:38:07.288,-1
20:38:07.494,-1
20:38:07.696,-1
20:38:07.899,-1
20:38:08.101,-1
20:38:08.302,-1
20:38:08.505,-1
20:38:08.708,-1
20:38:08.910,-1
20:38:09.114,-1
20:38:09.318,-1
20:38:09.521,-1
20:38:09.723,-1
20:38:09.927,-1
20:38:10.128,-1
20:38:10.330,-1
20:38:10.532,-1
20:38:10.734,-1
20:38:10.937,-1
20:38:11.139,-1
20:38:11.341,-1
20:38:11.543,-1
20:38:11.745,-1
20:38:11.946,-1
20:38:12.150,-1
20:38:12.351,-1
20:38:12.554,-1
20:38:12.756,-1
20:38:12.961,-1
20:38:13.166,-1
20:38:13.367,-1
20:38:13.568,-1
20:38:13.770,-1
20:38:13.973,-1
20:38:14.175,-1
20:38:14.377,-1
20:38:14.579,-1
20:38:14.781,-1
20:38:14.983,-1
20:38:15.185,-1
20:38:15.387,-1
20:38:15.588,-1
20:38:15.795,-1
20:38:15.997,-1
20:38:16.200,-1
20:38:16.401,-1
20:38:16.606,-1
20:38:16.810,-1
20:38:17.012,-1
20:38:17.214,-1
20:38:17.415,-1
20:38:17.620,-1
20:38:17.822,-1
20:38:18.023,-1
20:38:18.226,-1
20:38:18.429,-1
20:38:18.631,-1
20:38:18.835,-1
20:38:19.040,-1
20:38:19.243,-1
20:38:19.447,-1
20:38:19.648,-1
20:38:19.850,-1
20:38:20.062,-1
20:38:20.268,-1
20:38:20.469,-1
20:38:20.673,-1
20:38:20.875,-1
20:38:23.364,-1
20:38:23.566,-1
20:38:23.768,-1
20:38:23.971,-1
20:38:24.176,-1
20:38:24.378,-1
20:38:24.580,-1
20:38:24.782,-1
20:38:24.987,-1
20:38:25.189,-1
20:38:25.391,-1
20:38:25.593,-1
20:38:25.797,-1
